Direct Assessment,Labour Force Population,MDAs Revenue,Number of Records,Othregna,Other Taxes,Paye,Job Distribution,Job engagement,Population density,Population,Regname,Road Tax,Total tax,Total,Km²,Literacy Rate (In %)
158476671.43,2023767.76482663,757124570.39,1,South East,580887632.7,1038978793.33,Total Employed,1384053.76387854,450.218354430,2845380,Abia,160341626.65,1938684724.11,2695809294.5,6320,72.5
58722421.94,1588278.28392841,517822259.92,1,North East,217903162.34,976560230.82,Total Employed,1257232.15064948,86.110734892,3178950,Adamawa,30903850,1284089665.1,1801911925.02,36917,40.5
97539502,3599981.39302059,1654609843,1,South South,886190214,3418354546,Total Employed,2242227.69854105,551.059313656,3902051,Akwa Ibom,93859405,4495943667,6150553510,7081,70.7
173425125.83,3251914.78158754,1163283102.64,1,South East,598332477.65,6059894036.03,Total Employed,2683681.97325621,862.474814203,4177828,Anambra,176158015,7007809654.51,8171092757.15,4844,75.1
5215051.32,2122724.49853433,42321266.71,1,North East,64570757.36,1600752229.06,Total Employed,1624123.44539118,101.513318934,4653066,Bauchi,35397950.03,1705935987.77,1748257254.48,45837,34.1
70818024.59,1362013.64248971,36985521.64,1,South South,131359372.29,2243347904.06,Total Employed,918576.335772923,158.221015502,1704515,Bayelsa,12373180.81,2457898481.75,2494884003.39,10773,62
162337345.96,2777485.24929905,958237799.01,1,North Central,102733370.7,1359344218.5,Total Employed,2218229.98710645,124.890366717,4253641,Benue,216932446,1841347381.16,2799585180.17,34059,45.1
156107027.41,2468889.84445171,590256865.25,1,North East,378116430.35,900484398.99,Total Employed,1693826.94286804,58.832463539,4171104,Borno,98278117,1532985973.75,2123242839,70898,14.5
20261976.63,1936997.97607713,627378702.62,1,South South,744245114.1,1313473573.53,Total Employed,1343610.57400689,143.529867037,2892988,Cross River,178996188.45,2256976852.71,2884355555.33,20156,62.3
75564555.91,3120369.50975945,1259805788.01,1,South South,2154023239.46,9452496088.16,Total Employed,2329084.99948619,232.367781670,4112445,Delta,177454357.66,11859538241.19,13119344029.2,17698,65.7
