Direct Assessment,Labour Force Population,Number of Records,Othregna,Other Taxes,Paye,Tax channel,Tax Channel value,Population density,Population,Regname,Road Tax,Total Employed,Total Unemployed,Total,Km²,Literacy Rate (In %)
158476671.43,2023767.76482663,1,South East,580887632.7,1038978793.33,MDAs Revenue,757124570.39,450.218354430,2845380,Abia,160341626.65,1384053.76387854,639714.000948087,2695809294.5,6320,72.5
58722421.94,1588278.28392841,1,North East,217903162.34,976560230.82,MDAs Revenue,517822259.92,86.110734892,3178950,Adamawa,30903850,1257232.15064948,331046.133278925,1801911925.02,36917,40.5
97539502,3599981.39302059,1,South South,886190214,3418354546,MDAs Revenue,1654609843,551.059313656,3902051,Akwa Ibom,93859405,2242227.69854105,1357753.69447953,6150553510,7081,70.7
173425125.83,3251914.78158754,1,South East,598332477.65,6059894036.03,MDAs Revenue,1163283102.64,862.474814203,4177828,Anambra,176158015,2683681.97325621,568232.808331329,8171092757.15,4844,75.1
5215051.32,2122724.49853433,1,North East,64570757.36,1600752229.06,MDAs Revenue,42321266.71,101.513318934,4653066,Bauchi,35397950.03,1624123.44539118,498601.053143148,1748257254.48,45837,34.1
70818024.59,1362013.64248971,1,South South,131359372.29,2243347904.06,MDAs Revenue,36985521.64,158.221015502,1704515,Bayelsa,12373180.81,918576.335772923,443437.306716789,2494884003.39,10773,62
162337345.96,2777485.24929905,1,North Central,102733370.7,1359344218.5,MDAs Revenue,958237799.01,124.890366717,4253641,Benue,216932446,2218229.98710645,559255.262192597,2799585180.17,34059,45.1
156107027.41,2468889.84445171,1,North East,378116430.35,900484398.99,MDAs Revenue,590256865.25,58.832463539,4171104,Borno,98278117,1693826.94286804,775062.901583673,2123242839,70898,14.5
20261976.63,1936997.97607713,1,South South,744245114.1,1313473573.53,MDAs Revenue,627378702.62,143.529867037,2892988,Cross River,178996188.45,1343610.57400689,593387.402070241,2884355555.33,20156,62.3
75564555.91,3120369.50975945,1,South South,2154023239.46,9452496088.16,MDAs Revenue,1259805788.01,232.367781670,4112445,Delta,177454357.66,2329084.99948619,791284.510273259,13119344029.2,17698,65.7
15724265.5,1528582.17240803,1,South East,413330955.74,1070678656.32,MDAs Revenue,164312741.16,383.941269841,2176947,Ebonyi,60493770,1205683.6172538,322898.555154224,1724540388.72,5670,53
201922472.63,2095235.33255755,1,South South,980421695.68,3131907685.31,MDAs Revenue,2305913904.42,181.629367487,3233366,Edo,203024930.48,1569481.29336271,525754.039194845,6823190688.52,17802,45.8
68538923,1770459.24897478,1,South West,2093829762.75,816183597.07,MDAs Revenue,238373509.2,377.610105462,2398957,Ekiti,33987774.95,1412959.57647105,357499.672503737,3250913566.97,6353,74.7
25607383,2467331.566966,1,South East,417025186,2082253568,MDAs Revenue,1431402776,456.338081274,3267837,Enugu,228382610,2006869.13184847,460462.435117527,4184671523,7161,66.5
729761114.59,1736234.75203367,1,North Central,1429336427.19,14992874352.1,MDAs Revenue,0,192.098564593,1405201,FCT Abuja,0,1312485.27791832,423749.474115342,17151971893.88,7315,61.4
1018839.42,995947.192153666,1,North East,1273323835.39,795582542.96,MDAs Revenue,60109483.27,126.014492754,2365040,Gombe,22782875,727056.535419558,268890.656734108,2152817576.04,18768,39.3
302836486,3123271.13448935,1,South East,270328322.1,1613423398.8,MDAs Revenue,289213783.92,710.228390597,3927563,Imo,80755831.56,2242920.26801589,880350.866473453,2556557822.38,5530,53.2
300440377.81,1553869.89064085,1,North West,1307957236.7,1406979784.11,MDAs Revenue,540625083.8,188.347672108,4361002,Jigawa,132884980.9,1141942.71740819,411927.173232662,3688887463.32,23154,24.2
26131319.37,3504776.6366271,1,North West,521655232.17,2930453546.63,MDAs Revenue,2139401074.18,132.749288863,6113503,Kaduna,128944895,2564296.15833728,940480.478289822,5746586067.35,46053,29.3
59857047.27,4022761.24363199,1,North West,536802631.24,3424448578.61,MDAs Revenue,3080858638.67,467.005513884,9401288,Kano,138818424.29,2765631.25882096,1257129.98481104,7240785320.08,20131,48.9
45729815,1799855.08305541,1,North West,75374520,1556423705,MDAs Revenue,97455745,239.814153439,5801584,Katsina,27492622,1542017.87481687,257837.208238545,1802476407,24192,21.7
111296795.38,1556976.40750431,1,North West,70253381.52,793821573.14,MDAs Revenue,224949073.18,88.492961957,3256541,Kebbi,4500000,1243932.75824155,313043.649262755,1204820823.22,36800,25.3
22820925.87,2463101.66763015,1,North Central,573430518.71,4714948044.51,MDAs Revenue,485148996.38,111.086481413,3314043,Kogi,102681300,1977449.07919086,485652.588439287,5899029785.47,29833,33.5
269076302,1612475.84467944,1,North Central,57065335.14,1538875877.08,MDAs Revenue,5921421120.6,64.232260692,2365353,Kwara,123984964.29,1271808.45230955,340667.392369886,7910423599.11,36825,49.3
3184531676.68,7478255.62543089,1,South West,16294929287.49,60351831907.64,MDAs Revenue,9085614655.29,2724.545590433,9113605,Lagos,3016110202.08,6389903.64004376,1088351.98538713,91933017729.18,3345,92
12949425.65,1366207.32850274,1,North Central,63807814.36,1417735200.97,MDAs Revenue,1459932263.78,68.937456208,1869377,Nasarawa,52439527.3,991996.214898289,374211.11360445,3006864232.06,27117,41.9
47977760.05,1917789.53378705,1,North Central,769888412.69,1126360185.04,MDAs Revenue,119875549.59,51.789112528,3954772,Niger,75941341,1517904.99544913,399884.538337925,2140043248.37,76363,37.5
750047222.01,3116782.02449389,1,South West,10459700805.47,6183290335.57,MDAs Revenue,5656348797.73,223.788330748,3751140,Ogun,237107137.8,2605505.36941967,511276.655074214,23286494298.58,16762,62.8
106273111.48,2502481.87877809,1,South West,1593710196.4,2430525487.65,MDAs Revenue,1171772395.33,223.282387097,3460877,Ondo,232435825.93,2146218.7974745,356263.081303592,5534717016.79,15500,66.3
192501528.72,2466518.61743841,1,South West,84968027.8,1289597693.9,MDAs Revenue,2347884105.18,369.361042050,3416959,Osun,38721829.24,2218203.00999109,248315.607447313,3953673184.84,9251,80
3865623087.63,4032123.49497652,1,South West,610935368.26,144347347.15,MDAs Revenue,1079049014.13,196.137414775,5580894,Oyo,243713725.85,3615293.17933739,416830.315639129,5943668543.02,28454,62.9
13400613.87,2084700.31059699,1,North Central,753121772.84,1752866750.75,MDAs Revenue,733577992.93,103.727590334,3206531,Plateau,117335050,1463885.32935348,620814.981243505,3370302180.39,30913,46.6
741988044.35,4601135.38999425,1,South South,5360229876.06,22534835319.65,MDAs Revenue,1314112363.21,469.315247811,5198605,Rivers,1100367075,2927144.41741093,1673990.97258332,31051532678.27,11077,72.8
11537600,1672919.58625387,1,North West,339786597.32,1389668594.51,MDAs Revenue,513150437.97,142.558657067,3702676,Sokoto,24711557,1237217.7812389,435701.805014972,2278854786.8,25973,30.1
50802622.06,2207684.20059578,1,North East,13212292.2,608967058.2,MDAs Revenue,748276538.39,42.127292420,2294800,Taraba,28730000,1788779.49968728,418904.700908504,1449988510.85,54473,23.3
1285871.05,1113650.25846317,1,North East,146313880.15,738606243.03,MDAs Revenue,233341832.36,51.016197090,2321339,Yobe,17427375,791184.351192138,322465.90727103,1136975201.59,45502,26.6
535150534.17,1427042.23963143,1,North West,512848695.7,1205792506.98,MDAs Revenue,411905947.02,82.462476737,3278873,Zamfara,717200000,1170525.16071863,256517.078912804,3382897683.87,39762,33.9
158476671.43,2023767.76482663,1,South East,580887632.7,1038978793.33,Total tax,1938684724.11,450.218354430,2845380,Abia,160341626.65,1384053.76387854,639714.000948087,2695809294.5,6320,72.5
58722421.94,1588278.28392841,1,North East,217903162.34,976560230.82,Total tax,1284089665.1,86.110734892,3178950,Adamawa,30903850,1257232.15064948,331046.133278925,1801911925.02,36917,40.5
97539502,3599981.39302059,1,South South,886190214,3418354546,Total tax,4495943667,551.059313656,3902051,Akwa Ibom,93859405,2242227.69854105,1357753.69447953,6150553510,7081,70.7
173425125.83,3251914.78158754,1,South East,598332477.65,6059894036.03,Total tax,7007809654.51,862.474814203,4177828,Anambra,176158015,2683681.97325621,568232.808331329,8171092757.15,4844,75.1
5215051.32,2122724.49853433,1,North East,64570757.36,1600752229.06,Total tax,1705935987.77,101.513318934,4653066,Bauchi,35397950.03,1624123.44539118,498601.053143148,1748257254.48,45837,34.1
70818024.59,1362013.64248971,1,South South,131359372.29,2243347904.06,Total tax,2457898481.75,158.221015502,1704515,Bayelsa,12373180.81,918576.335772923,443437.306716789,2494884003.39,10773,62
162337345.96,2777485.24929905,1,North Central,102733370.7,1359344218.5,Total tax,1841347381.16,124.890366717,4253641,Benue,216932446,2218229.98710645,559255.262192597,2799585180.17,34059,45.1
156107027.41,2468889.84445171,1,North East,378116430.35,900484398.99,Total tax,1532985973.75,58.832463539,4171104,Borno,98278117,1693826.94286804,775062.901583673,2123242839,70898,14.5
20261976.63,1936997.97607713,1,South South,744245114.1,1313473573.53,Total tax,2256976852.71,143.529867037,2892988,Cross River,178996188.45,1343610.57400689,593387.402070241,2884355555.33,20156,62.3
75564555.91,3120369.50975945,1,South South,2154023239.46,9452496088.16,Total tax,11859538241.19,232.367781670,4112445,Delta,177454357.66,2329084.99948619,791284.510273259,13119344029.2,17698,65.7
15724265.5,1528582.17240803,1,South East,413330955.74,1070678656.32,Total tax,1560227647.56,383.941269841,2176947,Ebonyi,60493770,1205683.6172538,322898.555154224,1724540388.72,5670,53
201922472.63,2095235.33255755,1,South South,980421695.68,3131907685.31,Total tax,4517276784.1,181.629367487,3233366,Edo,203024930.48,1569481.29336271,525754.039194845,6823190688.52,17802,45.8
68538923,1770459.24897478,1,South West,2093829762.75,816183597.07,Total tax,3012540057.77,377.610105462,2398957,Ekiti,33987774.95,1412959.57647105,357499.672503737,3250913566.97,6353,74.7
25607383,2467331.566966,1,South East,417025186,2082253568,Total tax,2753268747,456.338081274,3267837,Enugu,228382610,2006869.13184847,460462.435117527,4184671523,7161,66.5
729761114.59,1736234.75203367,1,North Central,1429336427.19,14992874352.1,Total tax,17151971893.88,192.098564593,1405201,FCT Abuja,0,1312485.27791832,423749.474115342,17151971893.88,7315,61.4
